IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,id
0,,株式会社山口食品,Customer,,,,静岡県,,Japan,,,静岡県,,Japan,080-1613-4078,070-6220-3540,97381,http://yoshida.org/,3710,Finance,34468107,2976,,dFK,,Warm,,26,2024-05-14,110,2024-06-10,68,2024-08-06,,,,,,Pending,Web,876731218,,3921,学生,1963,,,1
0,,有限会社斎藤情報,Customer,,,,千葉県,,Japan,,,千葉県,,Japan,23-8312-1729,01-9536-4174,21138,http://mori.jp/,4714,Healthcare,47932117,2801,,ePX,,Hot,,175,2024-08-06,100,2024-02-05,237,2024-05-04,,,,,,Matched,Partner,867407630,,3284,コピー,1932,,,2
0,,中村農林株式会社,Partner,,,,富山県,,Japan,,,富山県,,Japan,070-4830-3173,080-9454-9993,21107,https://www.yamaguchi.jp/,5139,Retail,48191305,902,,tha,,Hot,,230,2024-06-07,172,2024-06-28,49,2024-03-21,,,,,,Matched,Partner,384968465,,9513,感謝する,1948,,,3
0,,山本建設株式会社,Partner,,,,宮崎県,,Japan,,,宮崎県,,Japan,070-4697-3102,080-1389-6613,70408,http://www.abe.net/,9550,Technology,15490420,295,,Lpm,,Cold,,44,2024-07-01,19,2024-03-19,114,2024-01-07,,,,,,Pending,Direct,204407225,,1855,葉,1978,,,4
0,,橋本食品株式会社,Partner,,,,愛媛県,,Japan,,,愛媛県,,Japan,45-3064-8023,090-6393-1216,14410,https://nishimura.jp/,3529,Technology,17180541,221,,SnQ,,Hot,,131,2024-03-05,75,2024-05-23,112,2024-05-29,,,,,,NotMatched,Partner,727725605,,4913,屋根裏,1956,,,5
0,,合同会社阿部情報,Partner,,,,滋賀県,,Japan,,,滋賀県,,Japan,090-1926-9384,080-0699-5208,96581,http://www.hashimoto.net/,5659,Technology,11245584,2092,,ILL,,Warm,,205,2024-04-16,154,2024-03-19,232,2024-08-03,,,,,,NotMatched,Partner,745841185,,9193,文言,1945,,,6
0,,吉田建設株式会社,Partner,,,,長野県,,Japan,,,長野県,,Japan,080-4788-7214,080-0204-4056,81732,https://www.fukuda.com/,5830,Healthcare,9389847,474,,pke,,Hot,,252,2024-04-01,254,2024-01-14,42,2024-06-18,,,,,,Pending,Web,424210324,,6085,錯覚,2005,,,7
0,,株式会社山口ガス,Customer,,,,三重県,,Japan,,,三重県,,Japan,61-9237-2355,62-5526-3695,83377,http://www.matsuda.com/,8196,Finance,9638091,4704,,qRq,,Hot,,201,2024-02-07,137,2024-07-03,32,2024-01-10,,,,,,Matched,Direct,410946267,,4239,デッド,1958,,,8
0,,伊藤水産株式会社,Customer,,,,静岡県,,Japan,,,静岡県,,Japan,94-2372-8638,090-5930-2997,16541,http://murakami.jp/,8487,Technology,13605675,3883,,GVX,,Cold,,35,2024-03-09,46,2024-01-15,204,2024-04-14,,,,,,Pending,Direct,779605189,,4524,偏差,1935,,,9
0,,株式会社坂本通信,Customer,,,,長野県,,Japan,,,長野県,,Japan,070-2011-7845,070-6654-8082,36513,https://www.yamashita.com/,8130,Healthcare,46735418,3031,,XRF,,Cold,,163,2024-04-11,79,2024-02-23,60,2024-02-08,,,,,,Pending,Direct,438327502,,2147,見落とす,1994,,,10
0,,合同会社藤田ガス,Customer,,,,奈良県,,Japan,,,奈良県,,Japan,08-3140-8654,080-2867-4727,73373,https://yamaguchi.jp/,6522,Finance,27745531,4976,,wZQ,,Cold,,129,2024-04-20,231,2024-01-15,219,2024-01-18,,,,,,Matched,Partner,618313896,,4864,今日,1942,,,11
0,,山崎水産合同会社,Customer,,,,東京都,,Japan,,,東京都,,Japan,070-0050-6294,09-9021-2222,64637,https://www.fujiwara.jp/,4276,Retail,29134277,4077,,iqy,,Cold,,67,2024-06-04,7,2024-03-12,61,2024-07-25,,,,,,Pending,Web,506016595,,4045,ダッシュ,2009,,,12
0,,加藤食品株式会社,Customer,,,,福井県,,Japan,,,福井県,,Japan,070-6573-4049,070-4330-7709,30625,https://miura.net/,3170,Technology,2206503,4951,,ZTq,,Warm,,247,2024-07-22,101,2024-02-26,1,2024-03-12,,,,,,Matched,Referral,882169532,,4798,倫理,1944,,,13
0,,有限会社池田電気,Partner,,,,鹿児島県,,Japan,,,鹿児島県,,Japan,070-4378-7587,080-7542-8363,88106,https://www.kato.com/,4644,Retail,10365085,2984,,sQq,,Warm,,181,2024-04-01,259,2024-01-21,90,2024-06-08,,,,,,Pending,Referral,222235618,,2575,彼,1944,,,14
0,,小林農林合同会社,Customer,,,,大阪府,,Japan,,,大阪府,,Japan,090-7141-2555,48-6288-2339,21116,https://saito.com/,3112,Finance,3526056,4657,,KJs,,Cold,,18,2024-03-17,243,2024-04-22,20,2024-02-11,,,,,,NotMatched,Web,785938405,,2215,職人,1954,,,15
0,,森情報有限会社,Partner,,,,岐阜県,,Japan,,,岐阜県,,Japan,080-2718-6936,070-9228-3975,84865,https://saito.com/,7723,Healthcare,21102524,3757,,kEb,,Hot,,231,2024-04-15,237,2024-05-09,31,2024-03-17,,,,,,Pending,Web,190883601,,2750,バス,1945,,,16
