IsDeleted,AccountId,NextStep,PushCount,RecordTypeId,IsPrivate,Name,Description,StageName,Amount,Probability,ExpectedRevenue,TotalOpportunityQuantity,CloseDate,Type,LeadSource,IsWon,IsClosed,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,Pricebook2Id,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastStageChangeDate,FiscalQuarter,FiscalYear,Fiscal,CurrencyIsoCode,ContactId,LastViewedDate,LastReferencedDate,HasOpenActivity,HasOverdueTask,LastAmountChangedHistoryId,LastCloseDateChangedHistoryId,Product2Id__c,id
0,1,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Lost,,0,,35,2024-02-29,Existing Customer - Expansion,Partner,,1,Omitted,Omitted,1,0,,194,2024-02-15,202,2024-04-05,86,2024-02-09,2024-05-25,2024-01-02,3127,1974,バスケット,JPY,1,2024-02-07,2024-02-08,0,0,,,9,1
0,1,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Id. Decision Makers,,20,,25,2024-02-10,Existing Customer - Downgrade,Referral,,1,Pipeline,Pipeline,14,0,,137,2024-02-18,184,2024-03-09,210,2024-03-03,2024-07-12,2024-07-14,4053,1983,見出し,JPY,1,2024-01-24,2024-07-06,0,0,,,9,2
0,1,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Prospecting,,70,,45,2024-01-22,Existing Customer - Expansion,Phone,,1,Commit,Commit,8,1,,151,2024-02-29,20,2024-08-03,185,2024-01-23,2024-05-08,2024-07-09,7258,2016,装置,JPY,1,2024-07-14,2024-02-10,0,0,,,1,3
0,1,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Value Proposition,,100,,35,2024-07-28,Existing Customer - Expansion,Email,,1,Pipeline,Pipeline,2,1,,21,2024-05-09,26,2024-04-26,186,2024-01-26,2024-08-03,2024-04-04,8855,1997,デフォルト,JPY,1,2024-01-16,2024-03-25,1,0,,,3,4
0,1,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Lost,,20,,30,2024-06-16,Existing Customer - Replacement,Email,,1,Pipeline,Pipeline,18,0,,87,2024-01-18,190,2024-04-05,117,2024-06-15,2024-02-16,2024-03-27,1786,1981,トーン,JPY,2,2024-03-03,2024-05-12,1,1,,,10,5
0,1,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Id. Decision Makers,,0,,20,2024-03-11,New Customer,Partner,,1,BestCase,Best Case,20,1,,245,2024-07-03,100,2024-08-06,158,2024-04-18,2024-05-15,2024-03-29,3192,1983,織る,JPY,2,2024-05-29,2024-05-08,1,0,,,2,6
0,1,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Perception Analysis,,70,,15,2024-02-09,Existing Customer - Expansion,Referral,,1,Closed,Closed,24,0,,184,2024-05-20,157,2024-02-10,255,2024-01-14,2024-05-29,2024-07-26,7815,1997,創傷,JPY,3,2024-04-13,2024-04-07,1,0,,,8,7
0,1,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Needs Analysis,,30,,20,2024-04-08,Existing Customer - Downgrade,Email,,1,Closed,Closed,1,1,,37,2024-02-29,183,2024-01-01,111,2024-03-10,2024-05-10,2024-05-08,9547,1984,ハードウェア,JPY,3,2024-06-13,2024-03-21,1,1,,,5,8
0,1,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Prospecting,,10,,30,2024-04-10,New Customer,Web,,1,BestCase,Best Case,10,0,,144,2024-05-07,178,2024-03-11,257,2024-07-14,2024-05-02,2024-03-29,1625,1975,ささやき,JPY,3,2024-07-26,2024-06-20,0,1,,,9,9
0,2,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Proposal/Price Quote,,70,,50,2024-02-21,Existing Customer - Downgrade,Referral,,1,Pipeline,Pipeline,1,0,,260,2024-06-23,116,2024-03-02,89,2024-04-15,2024-01-19,2024-08-04,3781,1970,本質的な,JPY,4,2024-01-01,2024-06-25,1,1,,,7,10
