AccountId,Pricebook2Id,OwnerId,ContractId,ActivatedById,CompanyAuthorizedById,CompanyAuthorizedDate,CreatedById,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,Status,StatusCode,OrderNumber,EffectiveDate,EndDate,TotalAmount,Description,CurrencyIsoCode,ActivatedDate,Type,OrderReferenceNumber,OriginalOrderId,IsReductionOrder,CustomerAuthorizedById,CustomerAuthorizedDate,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Name,PoDate,PoNumber,BillToContactId,ShipToContactId,CreatedDate,LastModifiedDate,IsDeleted,OpportunityId__c,id
2,,90,e40123eb-c9dc-406a-8105-591740bbd1bf,47,187,2024-01-11,126,85,2024-04-04,2024-06-27,2024-02-14,Draft,Draft,ORD-78458,2024-01-18,2024-01-18,,,JPY,2024-01-18,ReductionOrder,,,,,,,,千葉県,,,,,,,,千葉県,,,,,,,,,,,,,0,23,1
2,,152,1ba1f5d6-c79f-4dca-b40c-4b5a65e99a08,57,217,2024-01-31,98,4,2024-03-13,2024-01-03,2024-07-27,Canceled,Activated,ORD-72411,2024-03-29,2024-03-29,,,JPY,2024-03-29,ReductionOrder,,,,,,,,千葉県,,,,,,,,千葉県,,,,,,,,,,,,,0,25,2
3,,70,14208897-cf4e-44bb-851a-97eac1c4df0c,70,148,2024-05-18,4,165,2024-02-04,2024-06-04,2024-08-01,Activated,Draft,ORD-65189,2024-03-19,2024-03-19,,,JPY,2024-03-19,Standard,,,,,,,,富山県,,,,,,,,富山県,,,,,,,,,,,,,0,30,3
4,,142,7fbaf9cd-2323-4659-9628-0d7f7f2d96fc,90,62,2024-08-04,69,198,2024-07-07,2024-06-08,2024-01-24,Canceled,Draft,ORD-66129,2024-02-28,2024-02-28,,,JPY,2024-02-28,Standard,,,,,,,,宮崎県,,,,,,,,宮崎県,,,,,,,,,,,,,0,40,4
4,,203,b358255e-652c-43d7-971d-1b0fb8573ef9,250,167,2024-06-08,92,188,2024-01-02,2024-05-16,2024-06-17,Draft,Activated,ORD-02520,2024-06-11,2024-06-11,,,JPY,2024-06-11,Standard,,,,,,,,宮崎県,,,,,,,,宮崎県,,,,,,,,,,,,,0,41,5
4,,79,8b20cd3c-1a10-4d1f-b17a-ec97448617b9,70,118,2024-06-06,63,84,2024-04-16,2024-02-08,2024-07-29,Completed,Canceled,ORD-19764,2024-04-19,2024-04-19,,,JPY,2024-04-19,Standard,,,,,,,,宮崎県,,,,,,,,宮崎県,,,,,,,,,,,,,0,47,6
4,,174,f6f1c658-8fbd-40cc-b30e-92738d4cf312,209,42,2024-03-28,101,228,2024-02-05,2024-05-26,2024-02-16,Draft,Canceled,ORD-15062,2024-06-11,2024-06-11,,,JPY,2024-06-11,ReductionOrder,,,,,,,,宮崎県,,,,,,,,宮崎県,,,,,,,,,,,,,0,48,7
4,,165,f479b7f7-a3a3-4966-a4b5-ddc11781bcff,161,209,2024-01-06,236,142,2024-01-13,2024-03-27,2024-05-07,Canceled,Activated,ORD-39066,2024-01-04,2024-01-04,,,JPY,2024-01-04,Standard,,,,,,,,宮崎県,,,,,,,,宮崎県,,,,,,,,,,,,,0,50,8
4,,252,5d6db662-b02c-4a9c-b43c-84d7da99d2ab,222,58,2024-01-18,219,97,2024-04-21,2024-06-07,2024-07-23,Activated,Canceled,ORD-15668,2024-06-11,2024-06-11,,,JPY,2024-06-11,ReductionOrder,,,,,,,,宮崎県,,,,,,,,宮崎県,,,,,,,,,,,,,0,51,9
4,,155,bf57ef0f-5144-4b77-8dd5-790b419131d2,192,168,2024-06-29,6,114,2024-07-20,2024-05-11,2024-05-31,Activated,Activated,ORD-67544,2024-04-03,2024-04-03,,,JPY,2024-04-03,Standard,,,,,,,,宮崎県,,,,,,,,宮崎県,,,,,,,,,,,,,0,53,10
